ID,SKU,Published,Is featured?,Visibility in catalogue,Images
419439,ZO-KOS704,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS704.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS704-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS704-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS704-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS704-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS704-5.jpg
419440,ZO-KOS705,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS705.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS705-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS705-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS705-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS705-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS705-5.jpg
419441,ZO-KOS706,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS706.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS706-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS706-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS706-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS706-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS706-5.jpg
419449,ZO-ONY503,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONY503.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONY503-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONY503-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONY503-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONY503-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONY503-5.jpg
419451,ZO-CLR301,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR301.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR301-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR301-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR301-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR301-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR301-5.jpg
419452,ZO-CLR302,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR302.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR302-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR302-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR302-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR302-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR302-5.jpg
419453,ZO-CLR304,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR304.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR304-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR304-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR304-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR304-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR304-5.jpg
419454,ZO-CLR306,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR306.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR306-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR306-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR306-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR306-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-CLR306-5.jpg
419455,ZO-ONE801,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE801.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE801-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE801-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE801-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE801-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE801-5.jpg
419456,ZO-ONE802,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE802.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE802-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE802-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE802-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE802-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE802-5.jpg
419457,ZO-ONE803,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE803.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE803-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE803-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE803-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE803-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE803-5.jpg
419458,ZO-ONE804,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE804.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE804-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE804-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE804-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE804-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE804-5.jpg
419459,ZO-ONE805,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE805.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE805-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE805-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE805-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE805-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ONE805-5.jpg
419460,ZO-OXY101,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY101.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY101-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY101-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY101-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY101-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY101-5.jpg
419461,ZO-OXY103,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY103.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY103-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY103-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY103-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY103-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY103-5.jpg
419462,ZO-OXY104,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY104.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY104-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY104-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY104-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY104-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-OXY104-5.jpg
419463,ZO-PIA701,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PIA701.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PIA701-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PIA701-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PIA701-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PIA701-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PIA701-5.jpg
419464,ZO-PIA704,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PIA704.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PIA704-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PIA704-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PIA704-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PIA704-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PIA704-5.jpg
419465,ZO-ADA702,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA702.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA702-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA702-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA702-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA702-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA702-5.jpg
419466,ZO-ADA708,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA708.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA708-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA708-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA708-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA708-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA708-5.jpg
419468,ZO-ALL901,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL901.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL901-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL901-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL901-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL901-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL901-5.jpg
419471,ZO-ALL909,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL909.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL909-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL909-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL909-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL909-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL909-5.jpg
419472,ZO-ALP401,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP401.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP401-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP401-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP401-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP401-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP401-5.jpg
