Type,SKU,Images
simple,ET-LEDG200E279W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG200E279W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG200E279W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG200E279W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG200E279W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG200E279W-4.jpg
simple,ET-LEDG200B229W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG200B229W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG200B229W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG200B229W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG200B229W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG200B229W-4.jpg
simple,ET-DECOST64B224W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOST64B224W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOST64B224W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOST64B224W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOST64B224W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOST64B224W-4.jpg
simple,ET-DECOG95E274W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG95E274W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG95E274W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG95E274W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG95E274W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG95E274W-4.jpg
simple,ET-DECOG95B224W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG95B224W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG95B224W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG95B224W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG95B224W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG95B224W-4.jpg
simple,ET-DECOP180E274W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOP180E274W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOP180E274W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOP180E274W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOP180E274W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOP180E274W-4.jpg
simple,ET-DECOP180B224W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOP180B224W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOP180B224W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOP180B224W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOP180B224W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOP180B224W-4.jpg
simple,ET-DECOG200E274W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG200E274W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG200E274W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG200E274W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG200E274W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG200E274W-4.jpg
simple,ET-DECOG200B224W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG200B224W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG200B224W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG200B224W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG200B224W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-DECOG200B224W-4.jpg
simple,ET-LEDR7S78MM6W3K,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDR7S78MM6W3K.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDR7S78MM6W3K-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDR7S78MM6W3K-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDR7S78MM6W3K-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDR7S78MM6W3K-4.jpg
simple,ET-LEDR7S78MM6W4K,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDR7S78MM6W4K.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDR7S78MM6W4K-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDR7S78MM6W4K-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDR7S78MM6W4K-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDR7S78MM6W4K-4.jpg
