SKU,Images
RFA-CF8201,https://inspiry.co.nz/wp-content/uploads/2021/RebrandT/RFA-CF8201.jpg|https://inspiry.co.nz/wp-content/uploads/2021/RebrandT/RFA-CF8201-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/RebrandT/RFA-CF8201-2.jpg
RFA-CF8203,https://inspiry.co.nz/wp-content/uploads/2021/RebrandT/RFA-CF8203.jpg|https://inspiry.co.nz/wp-content/uploads/2021/RebrandT/RFA-CF8203-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/RebrandT/RFA-CF8203-2.jpg
RFA-AF2281,https://inspiry.co.nz/wp-content/uploads/2021/RebrandT/RFA-AF2281.jpg|https://inspiry.co.nz/wp-content/uploads/2021/RebrandT/RFA-AF2281-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/RebrandT/RFA-AF2281-2.jpg
